穿 B-DRUG_INGREDIENT
山 I-DRUG_INGREDIENT
龙 I-DRUG_INGREDIENT
在 O
体 O
内 O
具 O
有 O
类 O
似 O
甾 O
体 O
激 O
素 O
样 O
作 O
用 O
， O
其 O
煎 O
剂 O
用 O
以 O
治 O
疗 O
各 O
种 O
风 O
湿 O
痛 O
， O
大 O
骨 O
节 O
病 O
等 O
会 O
产 O
生 O
一 O
些 O
生 O
理 O
上 O
的 O
良 O
性 O
反 O
应 O
。 O
威 O
灵 O
仙 O
含 O
白 O
头 O
翁 O
素 O
， O
皂 O
甙 O
等 O
， O
具 O
有 O
明 O
显 O
镇 O
痛 O
作 O
用 O
。 O
木 O
瓜 O
含 O
皂 O
甙 O
， O
黄 O
酮 O
等 O
， O
对 O
小 O
鼠 O
蛋 O
清 O
性 O
关 O
节 O
炎 O
有 O
明 O
显 O
的 O
消 O
肿 O
作 O
用 O
。 O
川 O
牛 O
膝 O
具 O
有 O
明 O
显 O
的 O
止 O
痛 O
作 O
用 O
， O
还 O
有 O
扩 O
张 O
外 O
周 O
血 O
管 O
作 O
用 O
。 O
地 O
龙 O
有 O
退 O
热 O
， O
溶 O
血 O
和 O
降 O
血 O
压 O
作 O
用 O
， O
没 O
药 O
有 O
抗 O
菌 O
镇 O
痛 O
作 O
用 O
。 O
全 O
方 O
具 O
有 O
强 O
壮 O
， O
扩 O
张 O
外 O
周 O
血 O
管 O
， O
改 O
善 O
血 O
液 O
循 O
环 O
， O
抗 O
菌 O
， O
抗 O
炎 O
， O
镇 O
痛 O
等 O
作 O
用 O
。 O
尚 O
不 O
明 O
确 O
。 O
END O
